Name,Org Type 1,Org Type 2,Org Type 3,Org Type 4,Org Type 5,Org Type 6,Primary eMail,Website,Telephones,Main Address,Main Address State,Registered Address,Registered Address State,Contact 1 Name,Contact 1 Designation,Contact 1 eMail,Contact 1 Telephones,Contact 2 Name,Contact 2 Designation,Contact 2 eMail,Contact 2 Telephones,Brief Information,Year of Establishment,GuideStar Url
Shreeji Jyot,Advocacy & Campaigning,Direct Service,Support,,,,,,"912266368102,912266368102","113, Zaveri Bazar,Near Khara Kuva,Mumbai,Maharashtra,400002",Maharashtra,,,,,,,,,,,"Shreeji Jyot is located in Mumbai, Maharashtra.",1991,http://www.guidestarindia.org/Summary.aspx?CCReg=9596
SHRI GAUSHALA SHALA DERI DATA,Direct Service,,,,,,,,918199993850,"Vill & P.O Data, Teh Hansi,Hisar,Haryana,125033",Haryana,,,Ram Saroop,,,,,,,,"Shri Gaushala Shala Deri Data is located in Hisar, Haryana.",1999,http://www.guidestarindia.org/Summary.aspx?CCReg=9587
SITARAM CHARITABLE TRUST,Advocacy & Campaigning,Direct Service,Support,,,,,,919726992887,"At. Gadhechi,Chotila,Surendranagar,Gujarat,360055",Gujarat,,,,,,,,,,,"Sitaram Charitable Trust is located in Surendranagar, Gujarat.",2006,http://www.guidestarindia.org/Summary.aspx?CCReg=9677
SOCIAL DEVELOPMENT SOCIETY,Direct Service,,,,,,,,919440059535,"R.Balaiah,Social Development Society,Nagalakuntla(Villege),Porumamilla(Mandal),YSR District, Kadapa (Cuddapah),Andhra Pradesh,516193",Andhra Pradesh,"Nagalakuntla Village & Post, Badvel Taluka,Kadapa Town,YSR District, Kadapa (Cuddapah),Andhra Pradesh,516001",Andhra Pradesh,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9679
SRI SARASWATHI EDUCATIONAL CHARITABLE TRUST,Direct Service,Support,,,,,,,919791445398,"186,Bye Pass Road,,Udumalpet,Coimbatore,Tamil Nadu,642126",Tamil Nadu,,,,,,,,,,,"Sri Saraswathi Educational Charitable Trust is located in Udumalpet, Tamil Nadu.",2001,http://www.guidestarindia.org/Summary.aspx?CCReg=9681
Sudama Charitable Trust,Advocacy & Campaigning,Direct Service,Support,,,,,,919726226762,"Gadechi,Chotila,Surendranagar,Gujarat,360055",Gujarat,,,,,,,,,,,"Sudama Charitable Trust is located in Surendranagar, Gujarat.",2005,http://www.guidestarindia.org/Summary.aspx?CCReg=9646
SUN TRUST (SOCIAL UTMOST FOR NEED TRUST),Direct Service,,,,,,,,919566952623,"1/141, Matha Koil Street, Konai Village & Post, Gingee Taluk,Gingee,Viluppuram,Tamil Nadu,604002",Tamil Nadu,,,,,,,,,,,"Sun Trust (Social Utmost for Need Trust) is located in Viluppuram, Tamil Nadu.",2012,http://www.guidestarindia.org/Summary.aspx?CCReg=9680
SURYODAY SEVA SANSTHAN,Direct Service,Support,,,,,,,+919431396947,"Suryoday Sewa Sansthan,Lakhibati,Castairs Town,,Lakhibati,Castairs Town, Deoghar,Deoghar,Jharkhand,814112",Jharkhand,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9614
Swaraj Gramvikas Education and Charitable Trust,Advocacy & Campaigning,Direct Service,,,,,,,919586323332,"At. Bhalgam,Wankaner,Morbi,Rajkot,Gujarat,363641",Gujarat,,,,,,,,,,,"Swaraj Gramvikas Education And Charitable Trust is located in Rajkot, Gujarat.",2011,http://www.guidestarindia.org/Summary.aspx?CCReg=9667
The Arts and Cultural Heritage Trust,Direct Service,,,,,,,http://partitionmuseum.org/,"918130001947,918587811662,919910793339","E1, 2nd Floor,,Green Park Extension (Opposite Green Park Market),New Delhi,South Delhi,Delhi,110016",Delhi,,,Mallika Ahluwalia,,,,,,,,"The Arts and Cultural Heritage Trust has set up the Partition Museum at Amritsar, dedicated to the memory of the Partition of the sub-continent in 1947 — its victims, its survivors and its lasting legacy. The Partition Museum opened all its galleries to the public in August 2017. The Museum is working towards creating a comprehensive repository of all material relating to the Partition, including oral histories, official papers, personal documents, objects, literature etc.",2015,http://www.guidestarindia.org/Summary.aspx?CCReg=9590
THE DREAM FOUNDATION,Advocacy & Campaigning,Direct Service,Support,,,,,,919717822067,"C-738A, First Floor,,Sangam Vihar,South Delhi,Delhi,110062",Delhi,,,Ms. Pooja Verma,,,,,,,,"The Dream Foundation is located in South Delhi, Delhi.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9606
THE ENERGY AND RESOURCES INSTITUTE,Direct Service,,,,,,,,911124682100,"Darbari Seth Block, India Habitat Centre Complex,,Lodhi Road, New Delhi,New Delhi,Delhi,110003",Delhi,,,,,,,,,,,"The Energy And Resources Institute is located New Delhi, Delhi.",1974,http://www.guidestarindia.org/Summary.aspx?CCReg=9682
UCHCH JEEVAN PRASHIKSHAN SANSTHAN,Direct Service,,,,,,,,919412307242,"236/1, 22 Civil Lines, Roorkee,Haridwar,Uttarakhand,247667",Uttarakhand,,,Mr. Ashok Rochlani,President,Shubhho.rke@gmail.com,,Dr. Navneet Arora,Secretary,navneetroorkee@gmail.com,,"Uchch Jeevan Prashikshan Sansthan is located in Haridwar, Uttarakhand.",2003,http://www.guidestarindia.org/Summary.aspx?CCReg=9701
Urja Trust,Advocacy & Campaigning,Direct Service,Intermediary,Network,Support,,,http://urjatrust.org/,"919819806266,917045991986,912224124397","2/17, Pancharati Society,,Kajupada, Bhatwadi, Ghatkopar (W),Mumbai,Mumbai Suburban,Maharashtra,400084",Maharashtra,,,,,,,,,,,"URJA’s is a catalyst organisation, with the goal to contribute to an equitable, just and compassionate society for women, with a special focus on homeless young women who come to Mumbai from across India. Our project looks after rehabilitation, development and advocacy vis-a-vis the issue of homeless young women who come to our shelter.In 4 years, 400 homeless young women coming to Mumbai from various parts of the country received opportunities for holistic development and were empowered to lead a life of dignity.Out of which, 200 women have pursued education and/or vocational training, and 155 are in stable jobs.200 marginalised, homeless young women will have increased access to civil and legal rights.",2014,http://www.guidestarindia.org/Summary.aspx?CCReg=9706
VEDH VIKAS YUVAK PRATISHTHAN,Advocacy & Campaigning,Direct Service,,,,,,,+919423880111,"B, 7 Ramkund towers laximinagar Phaltan,Laximinagar,Phaltan,Satara,Maharashtra,415523",Maharashtra,"B, 7 Ramkund towers laximinagar Phaltan,Phaltan,Satara,Maharashtra,415523",Maharashtra,,,,,,,,,"Vedh Vikas Yuvak Pratishthan is located in Satara, Maharashtra.",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=9698
WILDLIFE CONSERVATION & RURAL DEVELOPMENT SOCIETY,Direct Service,,,,,,,www.wcrds.com,919422439929,"Giradkar Wada,Mangalwari Peth,Umred Dist Nagpur,Nagpur,Maharashtra,441203",Maharashtra,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9657
YOUTH MISSION,Direct Service,Support,,,,,,www.youthmission.org.in,919868663529,"H.No=B1/12 Rama Vihar Delhi 110081,H.No=29 Pkt 25 Rohini Secter 24 Delhi 110085,Delhi,North West Delhi,110081",Delhi,"4-A Ground Floor, Main Road,Mandawali Fazalpur,East Delhi,Delhi,110092",Delhi,,,,,,,,,"Youth Mission is located in East Delhi, Delhi.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9636
ALL INDIA DISASTER MITIGATION INSTITUTE,Advocacy & Campaigning,Direct Service,Network,Support,,,,www.aidmi.org,"917926582962,919376410264","411, Sakar 5, Near Mithakhali Rly Crossing,Behind Old Nataraj Theatre, Ashram Road,Ahmedabad,Gujarat,380009",Gujarat,,,Jagdish Sastry,Sr. Co-Ordinator,jagdishs@aidmi.org,91-79-26582962,,,,,"The All India Disaster Mitigation Institute (AIDMI) is a registered public charitable trust based in Ahmedabad, Gujarat, India. It is a community-based action planning, action research and advocacy organization, working towards bridging the gap between policy, practice and research related to disaster mitigation and climate change adaptation as laid out in National Disaster Management Plan of Government of India of 2016. Established after the 1987–89 Gujarat droughts, AIDMI has expanded its work over the years to cover 14 types of disasters in twelve areas of India and beyond to eight countries in Asia. AIDMI strives to link local communities to national and international levels of risk reduction, relief and long-term recovery policies.",1995,http://www.guidestarindia.org/Summary.aspx?CCReg=9722
ARANYA VIKASA,Direct Service,Support,,,,,,,"919448928730,919481217210","Aranya Vikasa No.255, Vruddi, Vikasa School Down,1st Main, Vinobha Nagar,Shimoga,Shivamogga (Shimoga),Karnataka,577204",Karnataka,"T Putta Naik, Veeranna Layout, 5th Stage, 5th Cross, Veeranna Layout Vinobha Nagar,Shimoga,Shivamogga (Shimoga),Karnataka,577204",Karnataka,,,,,,,,,"Vision – Fostering a Society with Social and Environmental Justice andSustainability. Goal of the organization is to promote more equitable, egalitarianand sustainable humane society.Mission - To create an environment of generational socialization and mutualhelp, social justice, generational fraternity, love, humanity & peace. Providinginterface between community and government and other stakeholders such ascorporates, donors, etc for implementing various developmental projects withsustainable development approach.",1997,http://www.guidestarindia.org/Summary.aspx?CCReg=9782
ASSOCIATION FOR WOMEN & AGRICULTURE AND RURAL DEVELOPMENT (AWARD),Direct Service,,,,,,,,"919443636723,914346247049","5/1047,T.V.K.Nagar,  Pappireddipatti Po & Tk,,Dharmapuri,Tamil Nadu,636905",Tamil Nadu,,,,,,,,,,,"Association For Women & Agriculture And Rural Development is located in Dharmapuri, Tamil Nadu.",1996,http://www.guidestarindia.org/Summary.aspx?CCReg=9772
AYUKUA SAKTI,Direct Service,,,,,,,https://ayukuasakti.blogspot.in/,919088269529,"Vill.- Borjol, P.O- Damra,P.S-Rampurhat,,Rampurhat,Birbhum,West Bengal,731216",West Bengal,,,Kalpana Das,Managing Trustee,,,,,,,"Ayukua Sakti is located in Birbhum, West Bengal.Ayukua Sakti has initiated a lot of activities on Rural Women empowerment through Micro credit and micro enterprise issues. It was involved in building local SHGs groups and strengthening it for the development of villages by involving them in participation methodology. A.	To establish, maintain and run project that provide financial benefit to women’s (including SHG’s, SGSY’s and BPL) at large without discrimination of caste, religion, creed etc.",2014,http://www.guidestarindia.org/Summary.aspx?CCReg=9783
Badu Rural Welfare Society,Direct Service,,,,,,,www.brws.org.in,919830412206,"Badu,Thakurhat Road,North 24 Parganas,West Bengal,700128",West Bengal,,,,,,,,,,,"The objectives for which the society is established are :1. To establish, acquire, start, aid, run, maintain or manage educational institutes, libraries, for the benefit of the public.2. To setup, run and manage nursery schools, primary schools, secondary and higher secondary schools to be affiliated under Govt. regulatory bodies. Also may establish and run college to promote true education by cultivation of totality among students.3. To set up computer centers, laboratories to spread computer literacy and up gradation of knowledge and skills in the field of computer science and technology.4. To promote awareness about environment and to arrange tree plantation in the localities to combat pollution's and beautification of public places",2014,http://www.guidestarindia.org/Summary.aspx?CCReg=9702
BALA JYOTHI RURAL DEVELOPMENT SOCIETY,Support,,,,,,,,919515471753,"1-48,Kadagunta Village and Post,Balayapalli Mandal,SPSR Nellore,Nellore,Sri Potti Sriramulu Nellore,Andhra Pradesh,524404",Andhra Pradesh,"Menakuru Village and Post,Naidupeta Mandal,SPSR Nellore,Sri Potti Sriramulu Nellore,Andhra Pradesh,524421",Andhra Pradesh,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9752
Bee Basket Society,Advocacy & Campaigning,Direct Service,Grant-making,Network,Support,,,https://www.beebasket.in,918308300008,"804, D-4 Building, B-wing, Rahul Park,Warje,Pune,Maharashtra,411058",Maharashtra,,,,,,,,,,,"We work on honey bees. We save bees from mass destruction in cities by pest control companies by safely relocating them to a safer location and also train tribal and farmers modern method of bee keeping and harvesting honey and other bee products from wild bees with out killing or burning. This way we are saving bees across India at the same time generate livelihood to tribal, farmers, woman, youth and physically challenged people by means of making bee based value added products and also help farms to pollinate not only farms but also hearts with the help of bees.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9773
Burdwan Angel Foundation,Direct Service,,,,,,,,"918145603590,913422634644","77/76 J.B. Mitra Road, Near APN Infotech Singdarwaja,Burdwan,Bardhaman,West Bengal,713104",West Bengal,,,,,,,,,,,"Burdwan Angel Foundation is located in Bardhaman, West Bengal.",2015,http://www.guidestarindia.org/Summary.aspx?CCReg=9719
Centre for Law and Policy Research Trust,Advocacy & Campaigning,Intermediary,Network,Support,,,,http://clpr.org.in/,"918040912112,918041235876","D6, Dona Cynthia Apartments,,35, Primrose Road, Ashok Nagar,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560025",Karnataka,"899, 7th Main, 4th Cross,,HAL 2nd stage,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560038",Karnataka,Sudhir Krishnaswamy,Co-Founder and Managing Trustee,,,Indu Krishnaswamy,Head of Operations,admin@clpr.org.in,91-80-40912112,"CLPR was established to reimagine and reshape public interest lawyering in India for the 21st century.First, we understand legal problems in their wider public policy context, and develop constructive solutions using rigorous social science research and analysis.Secondly, we develop and advance solutions that are grounded in core constitutional and liberal human rights values, which our clients identify to be in their interests.Thirdly, we are committed to an advocacy strategy that delivers maximal impact through strategic litigation in the lower courts, High Courts and the Supreme Court. We believe in coalition building with civil society groups, and engagement in the pre-legislative consultation process.",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=9721
CHF INDIA FOUNDATION,Direct Service,,,,,,,http://www.chfindiafoundation.org,912065800102,"CHF India Foundation, Parkland Society,Plot No. 6 Near Bajaj Finserv Viman Nagar,Pune,Maharashtra,411014",Maharashtra,"23, Bansidhar Society,Anandnagar, Bhatta,,Paldi,,Ahmedabad,Gujarat,380007",Gujarat,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9717
Dankuni Alakh Darbar,Support,,,,,,,,919433190010,"89,Rabindranagar,Dankuni,Hooghly,West Bengal,712311",West Bengal,,,,,,,,,,,"We Take care of orphanage, oldage and BPL category people. Right now 6 persons are being served. Fish cultivation is also there. Free medical check facility is there.",2012,http://www.guidestarindia.org/Summary.aspx?CCReg=9750
Dhanarangi Mahuya Welfare Society,Direct Service,Support,,,,,,,919475685272,"Dhanarangi.Gopalpur Bankura,Bankura,West Bengal,722136",West Bengal,"Dhanarangi Gopalpur Hirbandh Bankura,Dhanrangi,Bankura,West Bengal,722136",West Bengal,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9745
DUBAI STUDENTS CLUB,Support,,,,,,,,"919775504291,918101686862,919609480074","Vill- Dubai, P.O.- Maishali, P.S.- Bhupatinagar,,Bhupatinagar,East Medinipur,West Bengal,721434",West Bengal,,,,,,,,,,,"Dubai Students Club is located in East Medinipur, West Bengal.",2007,http://www.guidestarindia.org/Summary.aspx?CCReg=9743
DYSTROPHY ANNIHILATION RESEARCH TRUST,Support,,,,,,,www.dartindia.in,"919840219833,918023412725,918023412725","#295 14th Cross Dollars Colony RMV 2nd Stage, Sanjay Nagar,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560094",Karnataka,"No. 42/3, 1st Floor, 2nd Cross, Narayanappa Garden, Dinnur Mail Road, R.T Nagar,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560032",Karnataka,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9727
Gopinagar Rural Welfare Society,Direct Service,,,,,,,,"919073932358,913324795759","29/1/1, Chetla Central Road, 2nd Floor,Kolkata,West Bengal,700027",West Bengal,"Vill + P.O Gopinagar,Nadia,West Bengal,741223",West Bengal,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9747
Human Rights Organisation,Support,,,,,,,www.hrobgp.org,916412409465,"2nd Floor Eva Mansion, Sarath Chandrapath, Near Ghantaghar Chowk, Bhagalpur,Opposite Chandralok Complex,Bhagalpur,Bihar,812001",Bihar,"Raj wati Lane, Adampur Chowk, Bhagalpur,Bhagalpur,Bihar,812001",Bihar,,,,,,,,,"Our organisation strives to fight issues like corruption, in India,helping poor and needy,provides free education to poor children and encourages provides knowledge skill training to the women. Helping Poor children in going to school by implementing the RTI act in which the authorized person need to show the quality of Mid-Day Meal, a scheme in the government schools and government-aided schools. Human Rights Organisation aims not only to fight hunger but also to bring children to school.Since 2004, the organisation has worked towards reaching more People covering more than 10 districts with average helped more than 10,000 victims eradicating their problems.",2004,http://www.guidestarindia.org/Summary.aspx?CCReg=9718
IDPMS,Support,,,,,,,,"919663330533,918026763111","No 492/k, 7th cross, 7th Block, Jayanagara west,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560070",Karnataka,"No 35/1, New No 95 (Portion) Kanakapura Road,,Basavanagudi,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560004",Karnataka,,,,,,,,,"IDPMS is located in Bangalore, Karnataka.",1988,http://www.guidestarindia.org/Summary.aspx?CCReg=9728
INFORMATION SHARING AND ANALYSIS CENTER,Advocacy & Campaigning,Direct Service,Intermediary,Network,Support,,,http://www.isac.io,918527465252,"101, Vighnahar Sankul, Birla College Road,Bhoirwadi,Kalyan West,Thane,Maharashtra,421301",Maharashtra,,,,,,,,,,,"World's foremost and India's only cyber security foundation focused on cyber safety awareness and protecting children from dangers of Internet. ISAC has created the worlds first cyber security comic series ""Hanubot - The Cyber Defender"" to help children, teenagers and parents deal with online crimes such as sextortion, Blue Whale, Cyber bullying, online drugs, Tech abuse and Gadget de-addiction.",2011,http://www.guidestarindia.org/Summary.aspx?CCReg=9714
Institute for Exceptional Children,Direct Service,Network,Support,,,,,www.iecmumbai.org,"919920227744,912229200264,919930043607","2A, Chandra Niwas,Church Road, Off Andheri Kurla Road, Near Airport Road Metro Station, Andheri East,,Mumbai,Mumbai Suburban,Maharashtra,400059",Maharashtra,"91, Vijay Apartments,16, M.L Dhanukar Marg,Mumbai,Maharashtra,400026",Maharashtra,Jasmine Khattar,Executive and Clinical Director,jasmine@iecmumbai.org,,Dr. Trinjhna Khattar,Proficiency Head,trinjhna@iecmumbai.org,,"Established in 1979, Institute for Exceptional Children (IEC) is a non-profit organization providing comprehensive psycho-diagnostic, psycho-educational interventions and psycho-social counselling to children, adolescents, adults and their caregivers, who need assistance to deal with emotional, behavioural, learning and inter-personal difficulties. Our programmes include: 1. Educational Institutions Mental Health Programme (EMH)2. Community Mental Health Programme (CMH)3. Child and Adolescent Counselling [Including Families] (CAC)We cater to more than 5000 people annually",1979,http://www.guidestarindia.org/Summary.aspx?CCReg=9759
INSTITUTE FOR FINANCIAL MANAGEMENT AND RESEARCH,Direct Service,Intermediary,Support,,,,,www.ifmrlead.org,914440101309,"2nd Floor, No.4,Moores Road, Nungambakkam,Chennai,Tamil Nadu,600006",Tamil Nadu,"24,,Kothari Road, Nungambakkam,Chennai,Tamil Nadu,600034",Tamil Nadu,,,,,,,,,"At IFMR LEAD, our end goal is to translate evidence into insights and solutions that can be leveraged by relevant stakeholders for accelerating social and economic development in India. Since 2005, we have been a leader in the field of impact evaluations, monitoring and evaluation, and training in India and have recently expanded to Nepal and Bangladesh as well. Our repertoire includes extensive experience in designing and implementing tailored impact evaluations, and monitoring and evaluation frameworks for diverse organizations and focus areas in the social development space. Our research has touched millions of lives directly and indirectly.",1970,http://www.guidestarindia.org/Summary.aspx?CCReg=9751
JAI BHARAT VIKAS SANSTHAN,Direct Service,,,,,,,,918094003855,"H.no.157/29,Mission Compound, Nasirabad,,Ajmer,Rajasthan,305601",Rajasthan,"H.no.157/29,Mission Compound, Nasirabad,,Ajmer,Rajasthan,0",Rajasthan,,,,,,,,,"Jai Bharat Vikas Sansthan is located in Ajmer, Rajasthan.",2006,http://www.guidestarindia.org/Summary.aspx?CCReg=9729
Jan Sewa Welfare and Educational Society,Direct Service,,,,,,,www.jan-sewa.org,"919212409993,919992227781","226,VPO-Badsa,Tehshil-Badli,Bahadurgarh,Jhajjar,Haryana,124105",Haryana,"1625,C/1, Opp. H.P. Petrol Pump,,Thana Road,,Najafgarh,South West Delhi,Delhi,110043",Delhi,,,,,,,,,"Jan Sewa Welfare And Educational Society Registered By Government of NCT of Delhi under Registrar of Societies XXI OF 1860 ACT on 30/04/2010 A Registered Society Bearing Registration No. S/69352/2010 and is purely a Non Governmental Organization (NGO) having a non Political, non Religious and non Commercial character.The main objective of establishing the Jan Sewa Welfare And Educational Society is to reduce Poverty, Social Evils, Lack of Education, Women's Empowerment, Children's Education, Women's Education, Unemployment, the Help of the Needy People, Public Health, Rural Development, Environmental Protection, Computer Education, Primary Education And Livelihood Programmes etc.",2010,http://www.guidestarindia.org/Summary.aspx?CCReg=9775
JANHIT SAMAJ KALYAN SANSTHAN,Advocacy & Campaigning,Direct Service,Grant-making,Intermediary,Network,Support,,,"915273222172,919452570330,919889894720","Mohalla Mumtajganj,Tanda,Ambedkar Nagar,Uttar Pradesh,224190",Uttar Pradesh,,,,,,,,,,,"Janhit Samaj Kalyan Sansthan is located in Ambedkar Nagar,  Uttar Pradesh.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9704
KALAP TRUST,Direct Service,,,,,,,http://www.kalaptrust.org/,"911352733767,917579190749","G-14, D Block, Shivalik Apartments,,Canal Road, Jakhan,,Dehradun,Uttarakhand,248001",Uttarakhand,,,,,,,,,,,"KALAP TRUST (www.kalaptrust.org), is a Dehradun-registered charitable trust working with disadvantaged communities in the remote region of the upper Tons Valley in Mori Tehsil, Uttarkashi District, Uttarakhand. The organisation was formally registered in 2014 and is the first organisation to do pioneering development work in this remote region. We provide high-quality direct welfare services in education and healthcare. We work with the community to develop new sustainable livelihood opportunities. Our approach includes advocacy and awareness, and professional support through workshops, outreach and training.",2014,http://www.guidestarindia.org/Summary.aspx?CCReg=9737
KARUNA TRUST,Advocacy & Campaigning,Direct Service,,,,,,,"919842140818,919738209867","Karuna Farm,,Nelli Varai,,Prakasapuram Village, Kodaikanal Taluq,,Dindigul,Tamil Nadu,624101",Tamil Nadu,,,,,,,,,,,"Karuna Trust is running project of creating a community based on, living in harmony with nature. To practice, demonstrate and create awareness in alternative energy (solar- hydro, etc), self sufficiency, bio- architecture, organic- permiculture farming, afforestation, cows and dairy products. Besides this teaching yoga, meditation, philosophy, etc, to create a balance in material and spiritual life.",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=9642
Kolkata Community Human Rights and Welfare Association,Support,,,,,,,,"919434855166,919563319411","Dr. Sukumar Mk. Ghosh, Oppt: Nbstc, P.O & P.S : Falakata,,Falakata,Jalpaiguri,West Bengal,735211",West Bengal,,,,,,,,,,,"Kolkata Community Human Rights and Welfare Association is located in Jalpaiguri, West Bengal.",2005,http://www.guidestarindia.org/Summary.aspx?CCReg=9785
KUSHWAH SHIKSHA PRASAR SAMITI,Direct Service,Grant-making,,,,,,,919685724461,"New Colony Bairad,,Shivpuri,Madhya Pradesh,473793",Madhya Pradesh,,,Pravendra Singh,Director,PRAVENDRASING@GMAIL.COM,,,,,,"Kushwah Shiksha Prasar Samiti is located in Shivpuri, Madhya Pradesh.",2008,http://www.guidestarindia.org/Summary.aspx?CCReg=9734
LIGHTNING INDIA FOUNDATION FOR EXCELLENCE,Direct Service,,,,,,,,919311132549,"Old Ryan Public School, Jarothi Road Girdhari Nager,,Hapur,Ghaziabad,Uttar Pradesh,245101",Uttar Pradesh,"282 Ghalib Apartment, Parwana Road ,,Pitampura, North West Delhi,North West Delhi,Delhi,110034",Delhi,,,,,,,,,"Lightning India Foundation For Excellence works towards harnessing the skills and capabilities of the Indian youth so they have the right and adequate skills to perform the job assigned to them. Our efforts are being made in mobilizing, new training methodologies of skilling and doing industry linkages for placing rural youth. It is in this context that the role of Skill Development organizations becomes vital.",2014,http://www.guidestarindia.org/Summary.aspx?CCReg=9738
Liluah Sanjivani Welfare Society,Direct Service,,,,,,,https://www.facebook.com/LSWSNGO,919831728775,"1/1/32 Chakpara Road,Chakpara Road,Liluah Post: Bhattanagar,Howrah,West Bengal,711203",West Bengal,,,Subash Chandra Gupta,Secretary,guptasubh26@gmail.com,,,,,,"1. “Liluah Sanjivani Welfare Society” a NGO registered under West Bengal Society Act- XXVI of 1961 situated at 1/1/32 Chakpara road, Liluah, Howarh 711203 with dream to spread happiness.2. We render service to society in health, education, various awareness programs, since 2012.3. Within a short period of time we have conducted various programs on health and education at various govt. schools and like to further provide service to needy people.",2012,http://www.guidestarindia.org/Summary.aspx?CCReg=9707
MAHATMA BASHWESHWAR SEVA BHAVI SANSTHA,Advocacy & Campaigning,Intermediary,Network,Support,,,,,"919370122567,919284708399","Near Hanuman Mandir , Machnoor,Tq - Biloli,Biloli,Nanded,Maharashtra,431711",Maharashtra,,,Kalpana Nilkantrao Patil,Secretary,phadsesanjay777@gmail.com,"91-2465-219178,91-9370122567",,,,,"Our NGO is working in Rural Area with SHG members. Rural Development, our ngo three progect available in rural area .",2007,http://www.guidestarindia.org/Summary.aspx?CCReg=9723
"MAITRI MANTHAN SANSTHAN, UDAIPUR",Support,,,,,,,www.maitrimannthan.org,"919782246461,917568267575,919782213146","5th Floor, Pacific Tower,Opp. Chocolate Room, Madhuban,Udaipur,Rajasthan,313001",Rajasthan,"108, I-Block, Dwarkapuri,Sec. 14, Goverdhan Vilas,Udaipur,Rajasthan,313001",Rajasthan,,,,,,,,,"Our NGO, MaitriManthan Sansthan, is based in Udaipur and we are passionate about helping underprivileged tribal communities surrounding the city (Udaipur & Jodhpur).  Our projects improve their access to key facilities in healthcare and education, and we also provide workshops for women’s empowerment, Child development etc.Our health-care project has helped over 60,000 people within 85 villages surrounding Udaipur and Jodhpur, and this number is still increasing. Our NGO team makes daily visits to these villages, transporting people to hospital where our doctors provide free registration, medical consultation and treatment and prescribed medication.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9695
MANISHA WOMEN'S WELFARE SOCIETY,Direct Service,,,,,,,,919986441290,"Opp.V.G.Womens College,Pda Engineering College Raod,,Gulbarga,Kalaburagi (Gulbarga),Karnataka,585102",Karnataka,"Opp. Smt V. G Women's College, Iwan-E Shahi Road,Gulbarga,Kalaburagi (Gulbarga),Karnataka,585102",Karnataka,,,,,,,,,"Manisha Womens Welfare Society is located in Gulbarga, Karnataka.",1987,http://www.guidestarindia.org/Summary.aspx?CCReg=9779
Maxvision Social Welfare Society,Support,,,,,,,http://www.maxvisionsws.org,"919250920005,911244057946","G-2, First Floor, Street No. 2, Ashok Vihar, Phase-1,Railway Road,Gurgaon,Gurugram,Haryana,122001",Haryana,"Shri Ram Market Sirsa Road,Bhilai,Durg,Chhattisgarh,490023",Chhattisgarh,Brijesh Tripathi,Secretary,brijesh@maxvisionsws.org,"91-124-4057946,91-9250920005",,,,,"We focus on Child Labor Education, slum kid education.Women and youth empowerment, placement linked skill development program, Health care, legal aid to poor Environment - plantation and awareness Number of beneficiaries - 300 Child labor, 450 slum kids and 120 women and youth per year are getting benefits from our different programs on regular basis.",2004,http://www.guidestarindia.org/Summary.aspx?CCReg=9776
MEDIVOW FOUNDATIONS,Direct Service,,,,,,,http://www.medivowfoundations.org,918800999281,"242/A, Street No.7, Nehru Nagar,Patel Nagar,New Delhi,West Delhi,Delhi,110008,CERTIFICATE OF INCORPORATION.PDF",Delhi,,,Rajat Verma,CEO,medivow@gmail.com,,,,,,"Medivow Foundations is a vow to serve affordable and reliable healthcare services to the society, particularly to rural India. Our mission is to setup ""Medivow Centres"" in various villages where people do not have access to proper medical facilities. Our centres would work like “Virtual OPD centres” to provide telemedicine through web-based video conferencing solution besides other services to cover the whole gamut of healthcare. Our long term goal is to create a multiple of such ‘Medivow Centres’ so that we could expand the reachof medical advice to people living in remote areas and who do not have access to right medicalintervention at the right time.",2017,http://www.guidestarindia.org/Summary.aspx?CCReg=9705
